,name,address,price_per_night
475,В гости на улице Вокзальная магистраль 13,"ул. Вокзальная магистраль, 13, Новосибирск",от 2823₽
476,АлАнт на улице Серафимовича,"ул. Серафимовича, 20, Новосибирск",от 4375₽
477,Номера Aura,"ул. Семьи Шамшиных, 12, Новосибирск",от 3090₽
478,Байкал,"Россия, Новосибирская область, Коченево (поселок городского типа), Трасса Р-254 Иртыш, 1422-й километр, д.7, Прокудское",от 3122₽
479,Dom Puteshestvennikov,"Ulitsa Syzranskaya 3 Novosibirsk 630025,Ulitsa Syzranskaya, Новосибирск",от 3202₽
480,Гостевой дом Гора U Дачи,"Россия Маслянинский район Новосибирская область, Верх-Ики",от 5880₽
481,Хостел Пух,"Российская улица, д. 21, Новосибирск",от 2260₽
482,Nadezhda Hostel,"ul. Chelyuskintsev, 15/1, Novosibirsk, Novosibirskaya oblast', Russia, 630000, Новосибирск",от 2260₽
483,Мошково,"ул. Дорожная, д.1, Мошково",от 3122₽
484,Отель Весна,"Dobrolyubova 12/4 Novosibirsk 630009,Dobrolyubova, Новосибирск",от 3202₽
485,Жилое помещение Урицкого 13,"улица Урицкого, д.13, Новосибирск",от 2954₽
486,Hotel X.O. (Икс О),"Любитель с/т, 370, Новосибирск",от 2452₽
487,АлАнт на улице Покрышкина,"ул. Покрышкина, 1, Новосибирск",от 4337₽
488,Диван и чемодан в Горском 63,"мкр. Горский, 63, Новосибирск",от 2954₽
489,Диван и чемодан на Блюхера,"ул. Блюхера, 54, Новосибирск",от 1943₽
490,Yousinn (Юсинн) на улице Овражная,"ул. Овражная, 3, Новосибирск",от 3156₽
491,Matreshka Жилое помещение,"Prospekt Dzerdzhinskogo 14/2, Novosibirsk, Новосибирская обл., Russia, 630015, Новосибирск",от 3202₽
492,LiderHouse (ЛидерХаус) на улице Бориса Богаткова,"ул. Бориса Богаткова, 208/2, Новосибирск",от 3202₽
493,Room Apart (Рум Апарт) на улице Владимира Заровного,"ул. Владимира Заровного, 26/2, Новосибирск",от 4014₽
494,Как дома. Левый берег на Новосибирской,"ул. Новосибирская, 27, Новосибирск",от 2435₽
495,Жилое помещение Gostinniy Dom,"Bluhera Ulitsa 30 app 24, Novosibirsk, Novosibirskaya oblast', Russia, 630073, Новосибирск",от 2260₽
496,Хостел Дом,"Ядринцевская улица, д. 18, Новосибирск",от 2260₽
497,Hostel Skazka in Tolmachevo,"Vodoprovodniy pereulok 4, 633100 Ob, Russia, Обь",от 2476₽
498,Yousinn (Юсинн) на улице Немировича-Данченко 144/1,"ул. Немировича-Данченко, 144/1, Новосибирск",от 4308₽
499,LiderHouse (ЛидерХаус) на магистрали Вокзальная,"мгстр. Вокзальная, 11, Новосибирск",от 3202₽
500,Жилые помещения Metro,"Krasny Avenue 71 Novosibirsk 630099,Krasny Avenue, Новосибирск",от 3202₽
501,Тестовый отель №2 для Ракеты (Под запрос),"Ulitsa Sovetskaya, 5, Новосибирск",от 10485₽
502,АлАнт на улице Кошурникова 23/2,"ул. Кошурникова, 23/2, Новосибирск",от 4125₽
503,Хостел Big Ben,"Красный проспект, д. 99, Новосибирск",от 2260₽
504,Отель Поляна VERDE,"с. Морозово, ул. Космическая, 50, Морозово",от 4507₽
505,Капитан,"пр-т Мозжерина, д. 101, Обь",от 4507₽
506,Лазурный (Бердск),"633000, Новосибирская область, г. Бердск, Речкуновская зона отдыха, 16, Бердск",от 4507₽
507,Охотник,"ул. Островского 69/1, Бердск",от 2626₽
508,Mini  Hotel Paradise,"1-ya Chulymskaya ulitsa 156 Novosibirsk 630029,1-ya Chulymskaya ulitsa, Новосибирск",от 2452₽
509,Old Center Жилое помещение,"Krasny Prospekt 14 630007 Novosibirsk,Krasny Prospekt, Новосибирск",от 3202₽
510,Hostel Provence,"ul. Chaplygina 45 Novosibirsk 630099,ul. Chaplygina, Новосибирск",от 2260₽
511,Радуга,"ул. Коперативная, д.19, Чулым",от 3122₽
512,Золотой Лев,"ул. Лесная поляна, д. 56, Лесная Поляна",от 4507₽
513,АлАнт на улице Стартовая,"ул. Стартовая, 1, Новосибирск",от 3750₽
514,Central,"ул. Сызранская, 3, Новосибирск",от 2260₽
515,Жилые помещения Guest House,"Улица Гоголя 32/1, Новосибирск",от 2260₽
516,Гостевой дом на Артиллерийской,"ул.Артиллерийская, 97, Новосибирск",от 7787₽
517,Health,"Novoselov str., 25, Новосибирск",от 3202₽
518,Жилое Помещение Новые Матрешки,"улица Бородина, д. 56, Новосибирск",от 1830₽
519,Park hotel Khvoya (ex. Bylina),"Russia, 633000, Novosibirsk region, Berdsk, Rechkunovskaya recreation area 6, Бердск",от 7386₽
520,Отель Smart Hotel KDO Барабинск,"улица Путевая, д.18, Барабинск",от 2278₽
521,Жилое Помещение Светлица 54,"улица Семьи Шамшиных, д. 90/5, Новосибирск",от 3125₽
522,Хостел А54,"Новогодняя улица, д.28/1, Новосибирск",от 2260₽
523,АлАнт на улице Немировича-Данченко 156,"ул. Немировича-Данченко, 156, Новосибирск",от 4250₽
524,Хостел Amazon,"улица Титова, 10/1, Новосибирск",от 2260₽
525,Ирана Апартс,"разные районы города, Новосибирск",от 3090₽
526,Луневка,"ул. Байдуги, 48, Ордынское",от 6783₽
527,Erunin Hotels Group на Далидовича 25 (Ерунин хотелс групп),"ул. Далидовича, д.25, Новосибирск",от 2800₽
528,Север,"Хмельницкого улица, 32, Новосибирск",от 3806₽
529,Отель MAXROOMS Здвинск Сибирия,"улица Карла Маркса, д.11, Здвинск",от 2141₽
530,Теремки,"Новосибирская обл., Ордынский р-он, село Красный Яр, ул.Радужная, 10, Красный Яр",от 4507₽
531,Университетская,"ул. Блюхера, д. 32/1, Новосибирск",от 4507₽
532,Uyutnyi hostel,"630082, Russia, Novosibirsk st. 2nd Soyuza Molodezhy 31, Новосибирск",от 2260₽
533,Веста на улице Космическая,"ул. Космическая, 14, Новосибирск",от 2252₽
534,Восток (Новосибирск),"630534, Новосибирская область, Новосибирский район, с. Мочище, ул. Снежная, 13, Новосибирск",от 5800₽
535,АлАнт на улице Немировича-Данченко 146/1,"ул. Немировича-Данченко, 146/1, Новосибирск",от 4337₽
536,Apartment Uyut Dom,"Dusi Kovalchuk,250, Новосибирск",от 3090₽
537,База отдыха  Престиж,"Приморская улица, 1Б, Боровое",от 6783₽
538,Жилое помещение B-START,"ul. Frunze, 55, Novosibirsk, Novosibirskaya oblast', Russia, 630070, Новосибирск",от 3202₽
539,Gostiniy Dvor Lineyna 122,"Lineinaya 122, Новосибирск",от 3202₽
540,Hello-Hostel,"Коммунистическая,, Новосибирск",от 2260₽
541,Hotel Mercury,"Kommunstroevskaya 178 Novosibirsk 630039,Kommunstroevskaya, Новосибирск",от 3202₽
542,Хостел ROYAL HOSTEL 905,"улица 1905 года, 23, Новосибирск",от 2260₽
543,Аппартаменты на Коммунистической 26-1,"улица Коммунистическая, дом 26, Новосибирск",от 2052₽
544,Rocket,"Ulitsa Romanova 28, Новосибирск",от 2260₽
545,Персона,"ул. Комарова 10, Карасук",от 1282₽
546,Гостиница Shale Nizhegorodskaya,"Нижегородская 18, Новосибирск",от 3202₽
547,Уют,"ул. Молодежная, д.10а, Куйбышев",от 3122₽
548,Хостел А154,"переезд Бетонный, д. 1, Новосибирск",от 1138₽
549,ON-DAY (Он-Дэй),"различные районы города, Новосибирск",от 3090₽
550,AquaApart (АкваАпарт) на улице Ясный Берег 1/1,"ул. Ясный берег, 1/1, Новосибирск",от 4281₽
551,Диван и чемодан в Горском 11,"мкр. Горский, 11, Новосибирск",от 2828₽
552,Дорожная,"ул. Октябрьская, д.2д, Краснозерское",от 3122₽
553,Новый,"ул. Новосибирская 2, Бердск",от 4440₽
554,Tayozhnaya Zaimka Guest House,"Ulitsa Taygovskaya 1, Новососедово",от 4220₽
555,Жемчужина Сибири,"ул. Почтовая , д.2/В, Усть-Тарка",от 3122₽
556,Абсолют (квартирное бюро),"ул. Ленина,88, Новосибирск",от 3090₽
557,АлАнт на улице Немировича-Данченко 144/1,"ул. Немировича-Данченко, 144/1, Новосибирск",от 4500₽
558,Квартирка-НСК на проспекте Карла Маркса 11,"пр-кт Карла Маркса, 11, Новосибирск",от 4879₽
559,Жилые помещения Na Khilokskoy,"Ulitsa Khilokskaya, 1/1, Ap.7, Новосибирск",от 3202₽
560,Hotel Gost,"54 Lenin street, Сузун",от 4507₽
561,Смарт Отель КДО Барабинск,"Россия, Новосибирская область, Барабинск, ул. Путевая, д. 18, Барабинск",от 4116₽
562,Веста на проспекте Карла Маркса,"пр-кт Карла Маркса, 7, Новосибирск",от 2099₽
563,Welcome (Вэлком) на улице Жемчужная 32,"Академгородок, ул. Жемчужная, 32, Новосибирск",от 4675₽
564,Apartamenty na ulitse Fabrichnaya,"65 Fabrichnaya Street, Новосибирск",от 3095₽
565,Dachny Hostel,"Ulitsa Dachnaya 19/1 Novosibirsk 630082,Ulitsa Dachnaya, Новосибирск",от 2260₽
