,name,address,price_per_night
95,Yousinn (Юсинн) на улице Восход,"ул. Восход, 26/1, Новосибирск",от 2817₽
96,Курорт-отель Морозово,"Урочище Морозовское Бердского спецлесхоза, кварталы 18 и 43, ул. Речкуновская зона отдыха, 1, Морозово",от 4357₽
97,Отель 54,"квартал Д, 17А, Барабинск",от 3114₽
98,Viaggio Aparts (Виаджио Апартс) на улице Танковая,"ул. Танковая, 32, Новосибирск",от 3400₽
99,Хостел Евразия,"проспект Карла Маркса, д. 1, Новосибирск",от 1501₽
100,Хостел On-Day,"улица Ленина, 88, Новосибирск",от 1634₽
101,Санаторий-профилакторий Сибиряк,"Зелёная Роща, 15, Бердск",от 14262₽
102,Спорт,"ул. Ленина, 9Б, Бердск",от 3309₽
103,Стильные апартаменты,"улица Большевистская, 37, Новосибирск",от 2971₽
104,Студия на Комсомольской RestApart54,"улица Комсомольская, д.14, Бердск",от 2921₽
105,Барракуда на улице Богдана Хмельницкого,"ул. Богдана Хмельницкого, д. 65/1, Новосибирск",от 4400₽
106,Борвиха,"Морская ул., д. 3, Бердск",от 11535₽
107,Гостиничный Комплекс Кировский,"ул. Петухова, д. 67, Новосибирск",от 1458₽
108,Хостел RE,"улица Державина, д.49, Новосибирск",от 2260₽
109,Oazis apart (Оазис Апарт) на улице Покатная 130 корпус 1,"ул. Покатная, 130, корп. 1, Новосибирск",от 2721₽
110,Жилое помещение Однокомнатная на метро Октябрьская,"улица Кирова, д.11, Новосибирск",от 3681₽
111,Yousinn (Юсинн) на улице Добролюбова,"ул. Добролюбова, 18/1, Новосибирск",от 2868₽
112,Guest House Igarsky,"Ulitsa Igarskaya 20 korpus 2, Новосибирск",от 7787₽
113,Hotel On Babaeva,"Babaeva 56 Novosibirsk 630900,Babaeva, Новосибирск",от 3202₽
114,Yousinn (Юсинн) на улице Гоголя 19,"ул. Гоголя, 19, Новосибирск",от 2802₽
115,Кристалл,"Россия, 633010, Новосибирская область, Искитим, ул. Коммунистическая, д. 57, Искитим",от 4507₽
116,Парус,"ул. Железнодорожная, 66А, Купино",от 1893₽
117,Podushka Lyuks na Krasnom prospekte 73,"Krasnyy Prospekt 73 Tsentralnyy Rayon,Krasnyy Prospekt, Новосибирск",от 3202₽
118,Советская,"Советская, 252 к.1, Искитим",от 2103₽
119,AAA Elita on Krasnyi Prospekt 59,"Krasnyi Prospekt 59, Новосибирск",от 3202₽
120,Хостел Adres,"ул. Дуси Ковальчук, 272/4, Новосибирск",от 2260₽
121,Отель Фаворит,"улица Тургенева, д. 9, Карасук",от 2252₽
122,Fine o'clock na Oktyabrskaya 40,"ul. Oktyabrskaya 40 Novosibirsk 630007,ul. Oktyabrskaya, Новосибирск",от 3202₽
123,Novonikolayevskaya,"ул. Блюхера, д.71, лит.Б, Новосибирск",от 3202₽
124,Мини-Отель Гостинный Двор,"Советское шоссе, д.7, Новосибирск",от 2452₽
125,Гостиный двор,"ул. Ленина, д.54, Сузун",от 3122₽
126,Hostel Twenty 7,"Lenina 50, Новосибирск",от 2260₽
127,Yousinn (Юсинн) на улице Галущака 4,"ул. Галущака, 4, Новосибирск",от 10680₽
128,Хостел Купеческий дворъ,"Красноярская улица, д.3, Новосибирск",от 2260₽
129,Мини-отель Альянс,"улица Галущака, д. 2, Новосибирск",от 2452₽
130,Kvartira Na Marksa,"Prospekt Marksa 7, Novosibirsk, Новосибирск",от 3202₽
131,Уют (квартирное бюро),"ул. Ленина, 75, Новосибирск",от 3090₽
132,Апарт-Отель Усадьба,"улица Александра Невского, д. 30, Новосибирск",от 4369₽
133,4 Cities,"58/1 Aeroport Street, Новосибирск",от 3202₽
134,"Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина","улица Ядринцевская 18, Новосибирск",от 11000₽
135,Alexandr House B&B,"ул. Далидовича, д. 25, Новосибирск",от 4063₽
136,Apartment on pr. Dzerzhinskogo,"pr. Dzerzhinskogo, 20/1, 630040 Novosibirsk, Russia, Новосибирск",от 3090₽
137,Бурлинка,"Железнодорожная ул., д. 13, Новосибирск",от 3202₽
138,Жилые помещения Soyuz +,"ul. Tulskaya 525/1 Novosibirsk 630000,ul. Tulskaya, Новосибирск",от 3202₽
139,Хуторок,"ул. Бердская 97, Маслянино",от 4220₽
140,Аппартаменты На Маркса 14/1-1,"проспект Карла Маркса, д.14, Новосибирск",от 1926₽
141,Отель (закрыт),"улица Русская, Новосибирск",от 3202₽
142,Озеро Карачи,"632224, Новосибирская область, Чановский район, п. Озеро-Карачи, ул. Школьная, 1, Озеро-Карачи",от 4507₽
143,Randevu,"Krasnopartizanskaya 124b, Венгерово",от 4507₽
144,Razdolie,"Voronezhskiy Pereulok 16/1 Novosibirsk 630010,Voronezhskiy Pereulok, Новосибирск",от 3202₽
145,Serebryanye Klyuchi,"Serebryanye Klyuchi 8, Новосибирск",от 7787₽
146,888,"ul. Michurina 12A Novosibirsk 630091,ul. Michurina, Новосибирск",от 3202₽
147,Жилые помещения Dostoevsky,"Maxima Gorkogo Street 85 Novosibirsk 630099,Maxima Gorkogo Street, Новосибирск",от 3202₽
148,Меркурий,"Коммуностроевская ул., д. 178, Новосибирск",от 4220₽
149,Гостевой дом Вера,"ул. Севастопольская, д.581, Восток",от 12183₽
150,Мини отель Звездный,"Улица Военная 9/1, Новосибирск",от 2452₽
151,Набережная,"Инская ул., д. 39, Новосибирск",от 3202₽
152,Obschezhitie Gostinichnogo Tipa Akademiya,"Новосибирск, ул. Ватутина, д.57, Новосибирск",от 3202₽
153,Hostel Buen Camino,"M Gor'kogo 53 Novosibirsk,M Gor'kogo, Новосибирск",от 2260₽
154,AAA Elita on Yadryncevskaya 18,"Ядринцевская,18, Новосибирск",от 3202₽
155,АлАнт на улице Зыряновская,"ул. Зыряновская, 61, Новосибирск",от 4125₽
156,Apartamentyi Pisareva 20,"ulitsa Pisareva, 20, Novosibirsk, Russia, Новосибирск",от 3202₽
157,Отель «Чернышевский»,"Чернышевский спуск, 16, Новосибирск",от 3806₽
158,Дом рядом хостел,"Российская, 21, Новосибирск",от 3202₽
159,Гостевой Дом Avantazh,"Улица Нарядная, д.1, Новосибирск",от 7787₽
160,na Leninskoy,"Улица Ленина 55, Новосибирск",от 3202₽
161,Mini-Hotel Uytnyi Dvorik,"Partizanskaya Street Building 111,Partizanskaya Street, Новосибирск",от 3202₽
162,Жилые помещения Pioneer,"Вокзальная Магистраль 4/2, Новосибирск",от 3202₽
163,Сибирская Жемчужина,"Ордынская трасса, в поселке Кирза, Кирза",от 6783₽
164,Вилла Черепаново,"ул. Партизанская, д.10А, Черепаново",от 15205₽
165,Yousinn (Юсинн) на улице Фрунзе 49,"ул. Фрунзе, 49, Новосибирск",от 2988₽
166,AAA Elita on Ordzhanikidze 23,"Орджоникидзе,23, Новосибирск",от 3202₽
167,Хостел Антей,"630005, Россия, г. Новособирск, ул. Писарева, д. 89, Новосибирск",от 2260₽
168,Domashniy,"ul. Lenina, 55, Novosibirsk, Novosibirskaya oblast', Russia, 630004, Новосибирск",от 3202₽
169,Олимпик,"ул. Боровая Партия, д. 12, Новосибирск",от 3202₽
170,Yousinn (Юсинн) на улице Первомайская 230,"ул. Первомайская, 230, Новосибирск",от 2621₽
171,Yousinn (Юсинн) на улице Кошурникова,"ул. Кошурникова, 29/5, Новосибирск",от 2868₽
172,Хостел «Обской»,"ул. ЖКО Аэропорта, 30, Обь",от 2076₽
173,Staryij Tsentr Hostel,"Krasniy prospekt, 14, Novosibirsk, Russia, Новосибирск",от 2260₽
174,Краснозерский,"632901, Новосибирская обл., Кайгородский сельсовет, ул. Санаторий, д. 1, Кайгородский",от 4507₽
175,Озерный дом,"ул. Бердский Тупик, 12, Новосибирск",от 10521₽
176,Парк-отель Шишка,"Воронежский переулок, 16/1, Новосибирск",от 3202₽
177,Здоровье,"ул. Новосёлов, д. 25, Новосибирск",от 6783₽
178,Чулым,"ул. Кожемякина, 22а/1, Чулым",от 3122₽
179,Hostel Nsk Trend,"ulitsa El'tsovskaya, 6, Novosibirsk, Russia, Новосибирск",от 2260₽
180,Бутик-отель Новая,"улица Дмитрия Шамшурина, д.1, Новосибирск",от 3065₽
181,Меблированная комната On Gravity 29A,"ул. Самотечная, 29а, Новосибирск",от 3100₽
182,Ozero Karachi,"632224, Новосибирская область, Чановский район, курортный посёлок Озеро-Карачи, ул. Школьная 1е, Озеро-Карачи",от 4507₽
183,Мини-Отель Спарта,"улица Саратовкая, д.62, Новосибирск",от 2452₽
184,Заря,"ул. Ленина, д. 100, Татарск",от 1361₽
185,Хостел Алексия,"улица Ипподромская, д. 30, Новосибирск",от 2260₽
186,Room Apart (Рум Апарт) на улице Фрунзе,"ул. Фрунзе, 252/1, Новосибирск",от 3951₽
187,Отель Берёзка,"улица Деповская, д.23, Барабинск",от 3284₽
188,Сипк Ано,"Новосибирск, ул. Народная, д.7/1, Новосибирск",от 3202₽
189,"Jet2Day на Железнодорожной, 11 этаж (Джет ту Дэй)","ул.Железнодорожная, д.15/1, Новосибирск",от 2500₽
190,Na Naberezhnoj Hostel,"ulitsa Obskaya, 139, Novosibirsk, Russia, Новосибирск",от 2260₽
191,Риф,"4-й микрорайон, 9а, Линёво",от 3122₽
192,Уютная,"ул. Ленина, д.29, Кыштовка",от 3122₽
193,AAA Elita on Semiy Shamshinih 12,"Sem'i Shamshinyh,12, Новосибирск",от 3202₽
194,Myhomehotel on Sibrevkoma 7 1,"Ulitsa Sibrevkoma 7 1, Novosibirsk, Russia, Новосибирск",от 3202₽
195,Hostel 888 У Вокзала,"7 Ulitsa Chelyuskintsev, Новосибирск",от 2260₽
196,Hotel X.O. Переездная (Икс О),"ул. Переездная 77, Новосибирск",от 3202₽
197,Yousinn (Юсинн) на улице 2-ой Обской 73,"ул. 2-я Обская, 73, Новосибирск",от 3108₽
198,Победа,"ул. Луначарского 17, Карасук",от 1793₽
199,"Алатырь Новосибирск, ул. Блюхера, д. 28","Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 28, Новосибирск",от 3202₽
200,Три Кита,"ул. Путевая, д.4, Куйбышев",от 4507₽
201,Жилые помещения WellHome,"Красный проспект, 99, корпус 1, Новосибирск",от 3202₽
202,Хостел Горького 85,"улица Максима Горького, д.85, Новосибирск",от 2260₽
203,Парк-отель Сосновый Бор,"Новая заря, д.53 А, Новосибирск",от 6990₽
204,Апарт-отель Гостиниц NET на Обской,"ул. Обская 46/2, Новосибирск",от 2852₽
205,Хостел Норка,"микрорайон  Горский, д. 2, Новосибирск",от 2278₽
206,Отель Приморье,"Новосибирская область, Новосибирский район, посёлок Голубой залив, с/п Приморье территория, 2, Новосибирск",от 2708₽
207,Мини-Отель Red,"Красный проспект, д.153 А, Новосибирск",от 2338₽
208,Отель Шале на Комсомольском,"Комсомольский Проспект, д. 24, Новосибирск",от 3070₽
209,Отель SKYEXPO,"Улица Станционная, д. 100, Новосибирск",от 4457₽
210,Уют (квартирное бюро),"ул. Ленина, 75, Новосибирск, Новосибирск",от 2000₽
211,AAA Elita on Sovetskaya 36/1,"Советская,36/1, Новосибирск",от 3202₽
212,Derzhavina Apartmens,"Derzhavina 92/1, Новосибирск",от 3202₽
213,Foxhole,"ул. Фрунзе, 2б, Новосибирск",от 2260₽
214,A54 Mega Hostel,"ulitsa Mira, 65 A/1, Novosibirsk, Новосибирск",от 2260₽
215,Yousinn (Юсинн) на улице Выборной 89/2,"ул. Выборная, 89/2, Новосибирск",от 2803₽
216,Noj,"56 Inskaya St. Apt. 8 Novosibirsk,Inskaya St., Новосибирск",от 3202₽
217,Жилые помещения Putnik,"Yadrintsevskaya 18, Новосибирск",от 2260₽
218,Жилые помещения Zori,"Ulitsa Sibiryakov-gvardeytsev 82, Новосибирск",от 2260₽
219,Как дома. Левый берег на Троллейная,"ул. Троллейная, 1, Новосибирск",от 2165₽
220,Morozovskie Bani,"Выборная, 59, Новосибирск",от 3202₽
221,Novaya Inn,"Ulitsa Shamshurina, 1 office 6, 630004 Novosibirsk, Russia, Новосибирск",от 7787₽
222,Однокомнатные апартаменты On Day на Челюскинцев 14,"улица Челюскинцев, д. 14, Новосибирск",от 2327₽
223,"Алатырь Новосибирск, ул. Блюхера, д. 16","Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 16, Новосибирск",от 3202₽
224,Жилые помещения AAA Elita on Gogol 32/1,"Str. Goldeneye 32/1, intercom 11, 5th floor, Novosibirsk, Novosibirsk Oblast, Russia, Новосибирск",от 3202₽
225,Отель AHOTELS design style на Советской,"ул. Советская, 8, Новосибирск",от 3118₽
226,Apartment Na Vokzalnoy Magistrali,"Ulitsa Vokzalnaya Magistral, 5, Ap.47, 630004 Novosibirsk, Russia, Новосибирск",от 3090₽
227,4 Rooms,"ul. Gogolya, 8, Novosibirsk, Novosibirskaya oblast', Russia, 630091, Новосибирск",от 3202₽
228,Yousinn (Юсинн) на улице Героев Революции,"ул. Героев Революции, 31, Новосибирск",от 2969₽
229,Колибри,"ул. Партизанская, д.9, Маслянино",от 3582₽
230,Хостел Fine O Clock,"Oktyabrskaya Street 40, Novosibirsk, Russia, Новосибирск",от 2260₽
231,PARUS Medical Resort&Spa,"630510, Новосибирская область, п. Кудряшовский, Береговая, 56, Кудряшовский",от 12875₽
232,"Алатырь Новосибирск, ул. Блюхера, д. 13","Россия, 630078, Новосибирская область, Новосибирск, ул. Блюхера, д. 13, Новосибирск",от 3202₽
233,STOP-HOUSE,"ул. Зыряновская, дом 57/3, Новосибирск",от 2260₽
234,Apartment Krasnye,"Красный проспект 66, Новосибирск",от 3090₽
235,Apartment na Khmelnitskogo,"Street Bogdana Kmelnitskogo 33/1, Новосибирск",от 3090₽
236,Apartment Novosibirsk,"Silver Springs 6, Новосибирск",от 3090₽
237,U Vokzala,"Ul. Chelyuskintsev, 22 Stantsiya Metro Ploshtady Garina-Mihaylovskogo, Новосибирск",от 2260₽
238,Отель Пятница,"Улица Кирова 299, Новосибирск",от 3202₽
239,Ирис Апарт-Отель,"Ядринцевская ул., д.48, Новосибирск",от 2732₽
240,Yousinn (Юсинн) на улице Крылова,"ул. Крылова, 67А, Новосибирск",от 2748₽
241,Метелица,"Ленина 2Г, Бердск",от 4440₽
242,Мираж,"1442 km of the Baykal State highway, Novosibirskaya region, Kochenevsky district, Прокудское",от 4507₽
243,Motel Rubin,"Kirpichnaya Ulitsa 1/1, Новомошковское",от 3122₽
244,Red avenue,"Krasny prospekt 179/1, 630123 Novosibirsk, Russia, Новосибирск",от 3090₽
245,АлАнт на улице 1-я Чулымская,"ул. 1-я Чулымская, 112/3, Новосибирск",от 3667₽
246,АлАнт на улице Немировича-Данченко 146/3,"ул. Немировича-Данченко, 146/3, Новосибирск",от 3375₽
247,Apartment Coastal,"Coastal 4, Novosibirsk, Ru., Новосибирск",от 3090₽
248,Apart Studio Temis,"Prospekt Karla Marksa 11 Novosibirsk 630064,Prospekt Karla Marksa, Новосибирск",от 3202₽
249,Hotel Barracuda,"Улица Тюленина 5, Новосибирск",от 3806₽
250,Хостел Горького 85,"85 ulitsa Maksima Gorkogo 3этаж, Новосибирск",от 2260₽
251,LiderHouse (ЛидерХаус) на улице Дуси Ковальчук,"ул. Дуси Ковальчук, 394, Новосибирск",от 3202₽
252,На Самотечной 29а,"ул. Самотечная, 29а, Новосибирск",от 3202₽
253,Жилое помещение на улице Кошурникова 5,"улица Кошурникова, д.5, Новосибирск",от 4952₽
254,Пихта Хаус Отель,"Воинская Улица 56, Новосибирск",от 3202₽
255,AAA Elita on Gogolya 38,"ul. Gogolya 38, Новосибирск",от 3202₽
256,АлАнт на улице Немировича-Данченко 148/2,"ул. Немировича-Данченко, 148/2, Новосибирск",от 4000₽
257,Хостел на Красном,"Красный проспект 66, Новосибирск",от 2260₽
258,Хостел Ной,"Инская Улица 56, Новосибирск",от 2260₽
259,Жилые помещения Nsk,"Lenina Street 30/1 Novosibirsk 630004,Lenina Street, Новосибирск",от 2260₽
260,Ордынка,"ул. Кирова, д.2/3, Ордынское",от 4507₽
261,Стрелинка,"Новосибирская обл., Маслянинский район, р.п. Маслянино, Пеньково",от 4507₽
262,Welcome (Вэлком) на улице Героев Труда,"ул. Героев Труда, 11, Новосибирск",от 3300₽
263,Жилое помещение на улице Сибревкома 9а,"улица Сибревкома, д.9а, Новосибирск",от 2260₽
264,Erunin Hotels Group Самотечная 29A,"Samotechnaya Ulitsa 29A Novosibirsk 630029,Samotechnaya Ulitsa, Новосибирск",от 3202₽
265,Yousinn (Юсинн) на улице Дачной 40/1,"ул. Дачная, 40/1, Новосибирск",от 3006₽
266,Тихий центр на улице Ленина,"ул. Ленина, 18, Новосибирск",от 3370₽
267,База Отдыха Стрелинка,"пос. Маслянино, ул. Горная, д. 13, Маслянино",от 4507₽
268,Yousinn (Юсинн) на улице Бориса Богаткова 213,"ул. Бориса Богаткова, 213, Новосибирск",от 3108₽
269,Отель 6-12-24 Аэропорт Толмачево,"проспект Мозжерина, д.101, Обь",от 5411₽
270,Apartment Na Michurina,"Michurina, 20/1, Новосибирск",от 3090₽
271,Comfort Inn Hotel,"Khmelnitskogo Ulitsa, 96, Новосибирск",от 5578₽
272,"Элитная двухкомнтная квартира на улице Ядринцевской возле оперного театра, метро площадь Ленина","улица Ядринцевская, д. 18, Новосибирск",от 8914₽
273,Гарден Эппл,"ул. Восточный Поселок, д. 9, лит. А, Новосибирск",от 3202₽
274,LiderHouse (ЛидерХаус) на улице Кошурникова,"ул. Кошурникова, 47, Новосибирск",от 3202₽
275,Myhomehotel On Shevchenko 15/127,"Shevchenko Ulitsa 15, Новосибирск",от 3202₽
276,"Na Chelyuskintsev Apartmetns,14","ulitsa Chelyuskincev 14, Novosibirsk, Russia, Новосибирск",от 3202₽
277,Хостел Перекрёсток,"улица Переселенческая, д. 3, Новосибирск",от 2260₽
278,Apartamenty Svetlica Gogolya 14,"Ulitsa Gogolya 14, 630000 Novosibirsk, Russia, Новосибирск",от 3090₽
279,AquaApart (АкваАпарт) на улице Ясный Берег 25,"ул. Ясный берег, 25, Новосибирск",от 3476₽
280,Edelweiss Hotel,"Ulitsa Zhukovskogo 24 Novosibirsk 630123,Ulitsa Zhukovskogo, Новосибирск",от 3202₽
281,Жилое помещение Творческий,"Вокзальная магистраль 4/2, Новосибирск",от 3202₽
282,Oazis apart (Оазис апарт) на улице Покатная 122,"ул. Покатная, 122, Новосибирск",от 3553₽
283,Хостел «Проспект»,"Красный пр-т, 153-22, Новосибирск",от 2260₽
284,Yousinn (Юсинн) на улице Дачной 40/2,"ул. Дачная, 40/2, Новосибирск",от 2648₽
285,АлАнт на улице Немировича-Данченко 122/3,"ул. Немировича-Данченко, 122/3, Новосибирск",от 4115₽
286,АлАнт на улице Покатная,"ул. Покатная, 55А, Новосибирск",от 4493₽
287,Apartment DomSna,"ul.Serzhanta Korotayeva 1, 630033 Novosibirsk, Russia, Новосибирск",от 3090₽
288,Отель Horizon Patio,"Бердский тупик 10, Новосибирск",от 3202₽
289,Жилое помещение Uytnyi,"ul. Soyuza Molodezhi 2-aya D31 Novosibirsk 630082,ul. Soyuza Molodezhi, Новосибирск",от 3202₽
290,Hotel Mafia,"Rekkunovskaya 6/9 633000 Berdsk Novosibirsk region, Бердск",от 4440₽
291,Yousinn (Юсинн) на Вокзальной магистрали,"Вокзальная магистраль, 17, Новосибирск",от 3514₽
292,Жилое помещение Однокомнатная квартира в центре Ленинского района,"улица Серафимовича, д.8, Новосибирск",от 3067₽
293,Vystavochnaya Apartment,"Vystavochnaya Ul., 16, Новосибирск",от 3090₽
294,AAA Elita on Chaplygina 93,"Чаплыгина,93, Новосибирск",от 3202₽
295,Apartment on Prospekt Karla Marksa 11,"11 prospekt Karla Marksa, Новосибирск",от 3090₽
296,Dacha Apartment,"Dacha 23/5, Новосибирск",от 3090₽
297,Феникс центральная,"ул. Горького 28, Болотное",от 3122₽
298,FlaNsk (ФлаНск) на Романова,"ул. Романова, 60/1, Новосибирск",от 3134₽
299,Hostel Homeliness,"Stroitelnaya Street 19, Ob, Russia, Обь",от 2476₽
300,Хуторок,"федеральная трасса М51, 1281 км, Каргат",от 3122₽
301,Noy,"632334 Russia, Novosibirsk region, Barabinsk, st. Karl Marx, 100, Барабинск",от 3226₽
302,Quattro,"ул. Максима Горького, д. 51, Новосибирск",от 3202₽
303,Хостел Ретро,"улица Ленина, д.18, Новосибирск",от 2260₽
304,Academy,"Vatutina 57 Novosibirsk 630087,Vatutina, Новосибирск",от 3202₽
305,Apartment Gorsky estate,"Gorski district 2, Новосибирск",от 3090₽
306,Fine O'Clock Academ,"630090, Sibirskiy federal'niy okrug, Novosibirskaya oblast', Novosibirsk, ulitsa Tereshkovoy 12A, Новосибирск",от 3202₽
307,Жилые помещения Magistral N,"ul. Vokzalnaya magistral', 3к1, Novosibirsk, Novosibirskaya oblast', Russia, 630004, Новосибирск",от 3202₽
308,Hostel Nakhodka,"ul. Narymskaya 17/1 Novosibirsk 630132,ul. Narymskaya, Новосибирск",от 2260₽
309,Авиатор,"ул. Авиастроителей. д. 1/3, Новосибирск",от 3202₽
310,Отель Гостинично-Развлекательный Комплекс Отдых,"ул. Деповская, 1а, Карасук",от 2171₽
311,Посейдон,"Южный микрорайон, 55а к1, Искитим",от 3590₽
312,Рубин,"ул. 5-я Кирпичная Горка, 1/2, Мошково",от 4507₽
313,Три Версты,"ул. Планировочная, 9а, Новосибирск",от 2452₽
314,Apartment on Gogolya 11a,"ul. Gogolya, 11А, Novosibirsk, Novosibirskaya oblast', Russia, 630091, Новосибирск",от 3090₽
315,Бюро Апартаментов Сказка,"Улица Вокзальная Магистраль 5, Новосибирск",от 3090₽
316,Мини-отель Евразия,"улица Коммунистическая, д.2, Новосибирск",от 2476₽
317,Феникс,"ул. Турнаевская, д.36г, Болотное",от 3122₽
318,Evropeysky Mini-Hotel,"Ulitsa Dusi Kovalchuk 406 Building 1,Ulitsa Dusi Kovalchuk, Новосибирск",от 3202₽
319,Парк-отель «ЛесНица»,"Морозово, 1/1, Новосибирск",от 8328₽
320,"Алатырь Новосибирск, ул. Ватутина, д. 15","Россия, 630078, Новосибирская область, Новосибирск, ул. Ватутина, д. 15, Новосибирск",от 3202₽
321,Санаторий Рассвет,"улица Зелёная Роща, д.9/1, Бердск",от 10704₽
322,Гостевой дом Вера,"садоводческое некоммерческое товарищество Вера, д.581, Восток",от 11543₽
323,Жилые помещения Wildriver,"ul. Lobova, 52, Novosibirsk, Novosibirskaya oblast', Russia, 630028, Новосибирск",от 2260₽
324,Загородный,"ул. Центральная, 9а, Новосибирск",от 4220₽
325,Отель Antey,"улица Писарева, д.89, Новосибирск",от 2853₽
326,Хостел Апостол,"улица Саввы Кожевникова, д.29/1, Новосибирск",от 1557₽
327,Хостел Aprt Studio Temis,"проспект Карла Маркса, 11, Новосибирск",от 1500₽
328,Отель Дискавери,"улица Войкова, д.54, Новосибирск",от 3000₽
329,Фанки (FunKey) Хостел,"Россия, 630091, Новосибирская область, Новосибирск, ул. Фрунзе, д. 5/2, Новосибирск",от 1776₽
330,Хостел Авитель,"улица Ленина, д.83, Новосибирск",от 2260₽
331,Отель Визит,"улица Выборная, д.122, Новосибирск",от 1500₽
332,Мини-отель Корона,"улица Толстого, 242, Новосибирск",от 2529₽
333,Отель Миротель,"площадь Карла Маркса, д.1/1, Новосибирск",от 5949₽
334,Мини-Отель Элегант,"улица Воинская, д.60, Новосибирск",от 2400₽
335,Мини-Отель MAXROOMS Global Sky Novosibirsk,"улица 25 лет Октября, д.9, 17 этаж,, Новосибирск",от 2415₽
336,Отель Пегас,"улица Николая Островского, д.181, Новосибирск",от 2485₽
337,Хостел Смородина,"улица Семьи Шамшиных, д.30, Новосибирск",от 1439₽
338,Гостиница Уютная,"Белинского ул., д. 143, Новосибирск",от 2000₽
339,Хостел Планета на Фрунзе,"Россия, Новосибирская область, Новосибирск, ул. Фрунзе, д. 2Б, Новосибирск",от 1350₽
340,Мини-отель Якутия,"улица Большевистская, 103, Новосибирск",от 2771₽
341,Хостел Альтаир,"Стартовая Улица 4, Новосибирск",от 2260₽
342,Emodji Hostel,"ul. Sibirskaia 33 kvartira 10,ul. Sibirskaia, Новосибирск",от 2260₽
343,Eurasia,"2 Kommunisticheskaya st., Новосибирск",от 3202₽
344,Nakhodka,"ulitsa Narimskaya, 17/1, Novosibirsk, Russia, Новосибирск",от 3202₽
345,Хостел Вояж,"Улица Каменская 84В-46, Новосибирск",от 2260₽
346,Евразия,"ул. Коммунистическая, д.2, Новосибирск",от 2249₽
347,Отель Радуга,"Гусинобродское шоссе, д.41/1, Новосибирск",от 3500₽
348,Myhomehotel Na Ulitse Ordzhonikidze 30,"Ulitsa Ordzhonikidze 30, Новосибирск",от 3202₽
349,Aparthotel Podkova,"Ulitsa Sovetskaya 285, 633210 Iskitim, Russia, Искитим",от 4507₽
350,Podushka Lyuks na Sibirskoi 13,"ul. Sibirskaya 13 Novosibirsk,ul. Sibirskaya, Новосибирск",от 3202₽
351,Рассвет,"ул. Комсомольская, 5, Чаны",от 3122₽
352,Жилые помещения Novo,"Улица Красный проспект 153а офис 1n, Новосибирск",от 3202₽
353,Хостел Warm corner,"улица Усадебная, д. 7, Обь",от 2476₽
354,Юбилейная,"квартал 12, дом 3, Куйбышев",от 4507₽
355,База отдыха Зеленый Дом,"улица Боровая, д.2, Мирный",от 6412₽
356,A 54 Hostel,"проспект Карла Маркса,11, Новосибирск",от 2260₽
357,Гостиница Агат,"ул. Кольцово, 19, Новосибирск",от 3202₽
358,Na Ploshchadi Marksa Apartment,"Ulitsa Vystavochnaya 16, Novosibirsk, Novosibirsk, Novosibirsk, Новосибирск",от 3090₽
359,Dosstor,"Krasnoarmeyskaya Ulitsa 97 Novosibirsk 630008,Krasnoarmeyskaya Ulitsa, Новосибирск",от 3202₽
360,Петров Двор,"ул. Восход, д.66, лит.А, Новосибирск",от 3202₽
361,Yousinn (Юсинн) на улице Иванова 26,"ул. Иванова, 26, Новосибирск",от 2388₽
362,Оазис,"Караканский бор, Абрашино",от 4507₽
363,Парк Хостел,"ул. Ядринцевская, д. 18, Новосибирск",от 2260₽
364,"Алатырь Новосибирск, пер. 1-й Римского-Корсака, д. 5","Россия, 630054, Новосибирская область, Новосибирск, пер. 1-й Римского-Корсака, д. 5, Новосибирск",от 3202₽
365,Мини-отель Сиботель,"Улица Арбузова, д. 10, Новосибирск",от 2452₽
366,Отель Smart Hotel KDO Новосибирск,"улица Дмитрия Шамшурина, д. 43, Новосибирск",от 3747₽
367,Жемчужина,"ул. Жуковского, д. 8, Новосибирск",от 3202₽
368,Apartment Derzhavina,"Державина 11, кв 47, Новосибирск",от 3090₽
369,Aparthotel Lazurnyy,"Lazurnaya Street 28, Novosibirsk, Новосибирская обл., Russia, 630133, Новосибирск",от 2732₽
370,Диван и чемодан на улице Семьи Шамшиных,"ул. Семьи Шамшиных, 18, Новосибирск",от 2309₽
371,Хостел GoodNighter,"улица Красина, д.56, Новосибирск",от 2260₽
372,Sezon,"Serebrennikovskaya ul., 2/1, Novosibirsk, Novosibirsk Oblast, Russia, 630007, Новосибирск",от 3202₽
373,Erunin Hotels Group на Далидовича 35 (Ерунин хотелс групп),"ул. Далидовича, 35, Новосибирск",от 3200₽
374,Отель Оазис,"улица 1-я Юргинская, д.64, Новосибирск",от 3202₽
375,Русь,"ул. Промышленная, д.1, Купино",от 3122₽
376,Мини-отель У Петровича,"Омский тракт, д.1, Обь",от 2600₽
377,Apartment on Dusi Kovalchuk,"ul. Dusi Kovalchuk, 179/1, 630049 Novosibirsk, Russia, Новосибирск",от 3090₽
378,On-day,"ul. Lenina, 88, Novosibirsk, Novosibirskaya oblast', Russia, 630132, Новосибирск",от 3202₽
