,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
1782,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-454701/,"Геодезическая, 2/1",,0.0,54.990583,82.902205,Ресторан,пн-вс 7.30–21.00,,Неизвестно
1783,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-454702/,"Залесского, 4, корп. 4",,0.0,55.067351,82.9290219,Ресторан,пн-вс 7.00–20.00,,Неизвестно
1784,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-457811/,"Вокзальная магистраль, 10/1, ТЦ «Бонанза»",,0.0,55.0326613,82.908764,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1785,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-457813/,"Дуси Ковальчук, 91",,0.0,55.0565618,82.9041051,Ресторан,пн-вс 9.00–22.00,,Неизвестно
1786,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-486157/,"Вилюйская, 25",,0.0,54.9994771,83.0080586,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1787,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-486158/,"Громова, 13",,0.0,54.9357631,82.9096102,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1788,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-486159/,"Гусинобродское ш., 11/1, стр. 4",,0.0,55.0366755,83.0012527,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1789,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-486160/,"Оловозаводская, 11/2",,0.0,54.9624168,82.9528703,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1790,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-486161/,"Бориса Богаткова, 64",,0.0,55.0166405,82.9514273,Ресторан,пн-вс 8.00–21.00,,Неизвестно
1791,Пеку-пеку,https://www.afisha.ru/novosibirsk/restaurant/peku-peku-490299/,"​Красный просп., 77б, корп. 2",,0.0,55.0494843,82.9143183,Кофейня,пн-вс 7.30–21.30,,Неизвестно
