,Unnamed: 0.1,name,address,description
43,43,Матросово,"ул. Береговая, дом 215, Искитим","Матросово по адресу ул. Береговая, дом 215, Искитим. Минимальная стоимость в отеле 'Матросово' за ночь: от 6783₽"
44,44,Мини-отель Ной,"улица Карла Маркса, д.100, Барабинск","Мини-отель Ной по адресу улица Карла Маркса, д.100, Барабинск. Минимальная стоимость в отеле 'Мини-отель Ной' за ночь: от 3403₽"
45,45,Хостел Плюшевый Мишка,"улица Разъездная, д.12, Новосибирск","Хостел Плюшевый Мишка по адресу улица Разъездная, д.12, Советский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Плюшевый Мишка' за ночь: от 2260₽"
46,46,Room Apart (Рум Апарт) на улице Ясный берег,"ул. Ясный берег, 23, Новосибирск","Room Apart (Рум Апарт) на улице Ясный берег по адресу ул. Ясный берег, 23, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Room Apart (Рум Апарт) на улице Ясный берег' за ночь: от 3062₽"
47,47,Гостевой Дом,"Новосибирская обл, г Обь, ул Вокзальная, д. 90, Обь","Гостевой Дом по адресу Новосибирская обл, г Обь, ул Вокзальная, д. 90, Обь. Минимальная стоимость в отеле 'Гостевой Дом' за ночь: от 1782₽"
48,48,"Гранд-отель, Новосибирск","ул. Забалуева, 5/1, Новосибирск","Гранд-отель, Ленинский район, Новосибирск по адресу ул. Забалуева, 5/1, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Гранд-отель, Ленинский район, Новосибирск' за ночь: от 2778₽"
49,49,Мини-отель Summer delight,"улица Дачная, д.40/2, Новосибирск","Мини-отель Summer delight по адресу улица Дачная, д.40/2, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Мини-отель Summer delight' за ночь: от 2236₽"
50,50,Лель Купино,"ул. Элеваторская, д 50, Купино","Лель Купино по адресу ул. Элеваторская, д 50, Купино. Минимальная стоимость в отеле 'Лель Купино' за ночь: от 1786₽"
51,51,Солнечный,"ул. Софийская 15,А, Новосибирск","Солнечный по адресу ул. Софийская 15,А, Новосибирск. Минимальная стоимость в отеле 'Солнечный' за ночь: от 4700₽"
52,52,Апарт-отель на Набережной,"улица Большевистская, д. 37, Новосибирск","Апарт-отель на Набережной по адресу улица Большевистская, д. 37, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель на Набережной' за ночь: от 2958₽"
53,53,Диван и чемодан на Серафимовича,"ул. Серафимовича, 1/4/, Новосибирск","Диван и чемодан на Серафимовича по адресу ул. Серафимовича, 1/4/, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Серафимовича' за ночь: от 1946₽"
54,54,Yousinn (Юсинн) на улице Одоевского 1/11,"ул. Одоевского, 1/11, Новосибирск","Yousinn (Юсинн) на улице Одоевского 1/11 по адресу ул. Одоевского, 1/11, Первомайский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Одоевского 1/11' за ночь: от 2388₽"
55,55,Диван и чемодан на Галущака 17,"ул. Галущака, 17, Новосибирск","Диван и чемодан на Галущака 17 по адресу ул. Галущака, 17, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Галущака 17' за ночь: от 2190₽"
56,56,Диван и чемодан на Коммунистической,"ул. Коммунистическая, 26, Новосибирск","Диван и чемодан на Коммунистической по адресу ул. Коммунистическая, 26, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Коммунистической' за ночь: от 2051₽"
57,57,Yousinn (Юсинн) на улице Выборной 89/4,"ул. Выборная, 89/4, Новосибирск","Yousinn (Юсинн) на улице Выборной 89/4 по адресу ул. Выборная, 89/4, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Выборной 89/4' за ночь: от 3143₽"
58,58,Парк-Отель Чкаловские дачи,"д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск","Парк-Отель Чкаловские дачи по адресу д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск. Минимальная стоимость в отеле 'Парк-Отель Чкаловские дачи' за ночь: от 5936₽"
59,59,Диван и чемодан на Карла Маркса,"пр-кт Карла Маркса, 14/1, ст.1, Новосибирск","Диван и чемодан на Карла Маркса по адресу пр-кт Карла Маркса, 14/1, ст.1, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Карла Маркса' за ночь: от 1957₽"
60,60,Хостел Атмосфера,"улица Залесского, 2/2, Новосибирск","Хостел Атмосфера по адресу улица Залесского, 2/2, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Атмосфера' за ночь: от 2260₽"
61,61,Квартиры Sibkvart Некрасова 41,"улица Некрасова, д.41, Новосибирск","Квартиры Sibkvart Некрасова 41 по адресу улица Некрасова, д.41, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Квартиры Sibkvart Некрасова 41' за ночь: от 2830₽"
62,62,В гости на улице Ленина 81,"ул. Ленина, 81, Новосибирск","В гости на улице Ленина 81 по адресу ул. Ленина, 81, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'В гости на улице Ленина 81' за ночь: от 3690₽"
63,63,Welcome (Вэлком) на улице Иванова,"ул. Иванова, 8, Новосибирск","Welcome (Вэлком) на улице Иванова по адресу ул. Иванова, 8, Советский район, Новосибирск. Минимальная стоимость в отеле 'Welcome (Вэлком) на улице Иванова' за ночь: от 3300₽"
64,64,Мини-Отель Мира-ЛокуС,"улица Мира, 63Ак7, Новосибирск","Мини-Отель Мира-ЛокуС по адресу улица Мира, 63Ак7, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель Мира-ЛокуС' за ночь: от 1770₽"
65,65,Room Apart (Рум Апарт) на улице Дмитрия Шамшурина,"ул. Дмитрия Шамшурина, 29, Новосибирск","Room Apart (Рум Апарт) на улице Дмитрия Шамшурина по адресу ул. Дмитрия Шамшурина, 29, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Room Apart (Рум Апарт) на улице Дмитрия Шамшурина' за ночь: от 3354₽"
66,66,Авеню,"ул. Боровая 4/2, Бердск","Авеню по адресу ул. Боровая 4/2, Бердск. Минимальная стоимость в отеле 'Авеню' за ночь: от 3889₽"
67,67,Хостел Bueno,"улица Максима Горького,д. 53, Новосибирск","Хостел Bueno по адресу улица Максима Горького,д. 53, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел Bueno' за ночь: от 1961₽"
68,68,FlaNsk (ФлаНск) на Кошурникова,"ул. Кошурникова, 23, Новосибирск","FlaNsk (ФлаНск) на Кошурникова по адресу ул. Кошурникова, 23, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'FlaNsk (ФлаНск) на Кошурникова' за ночь: от 3416₽"
69,69,Как дома. Левый берег на Карла Маркса,"пр. К.Маркса, 7, Новосибирск","Как дома. Левый берег на Карла Маркса по адресу пр. К.Маркса, 7, Новосибирск. Минимальная стоимость в отеле 'Как дома. Левый берег на Карла Маркса' за ночь: от 1860₽"
70,70,Отель Нептун Татарск,"улица Закриевского, д. 72, Татарск","Отель Нептун Татарск по адресу улица Закриевского, д. 72, Татарск. Минимальная стоимость в отеле 'Отель Нептун Татарск' за ночь: от 1654₽"
71,71,Барракуда на улице Тюленина,"Улица Тюленина 5, Новосибирск","Барракуда на улице Тюленина по адресу Улица Тюленина 5, Новосибирск. Минимальная стоимость в отеле 'Барракуда на улице Тюленина' за ночь: от 3900₽"
72,72,Отель MAXROOMS Купино Сибирия,"улица Советов, д.80А, Купино","Отель MAXROOMS Купино Сибирия по адресу улица Советов, д.80А, Купино. Минимальная стоимость в отеле 'Отель MAXROOMS Купино Сибирия' за ночь: от 1946₽"
73,73,Мини-отель Абажур,"Речкуновская зона отдыха, 6/9, Бердск","Мини-отель Абажур по адресу Речкуновская зона отдыха, 6/9, Бердск. Минимальная стоимость в отеле 'Мини-отель Абажур' за ночь: от 5887₽"
74,74,Yousinn (Юсинн) на улице Ясный Берег,"ул. Ясный Берег, 35, Новосибирск","Yousinn (Юсинн) на улице Ясный Берег по адресу ул. Ясный Берег, 35, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Ясный Берег' за ночь: от 3495₽"
75,75,АлАнт на улице Немировича-Данченко 122/4,"ул. Немировича-Данченко, 122/4, Новосибирск","АлАнт на улице Немировича-Данченко 122/4 по адресу ул. Немировича-Данченко, 122/4, Кировский район, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Немировича-Данченко 122/4' за ночь: от 4000₽"
76,76,Как дома. Левый берег на Ватутина,"ул. Ватутина, 20, Новосибирск","Как дома. Левый берег на Ватутина по адресу ул. Ватутина, 20, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Как дома. Левый берег на Ватутина' за ночь: от 2310₽"
77,77,Room Apart (Рум Апарт) на улице Большевистская 35,"ул. Большевистская, 35, Новосибирск","Room Apart (Рум Апарт) на улице Большевистская 35 по адресу ул. Большевистская, 35, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Room Apart (Рум Апарт) на улице Большевистская 35' за ночь: от 3439₽"
78,78,Спасская (бывш. Юбилейная),"ул. Добролюбова, д.4, Венгерово","Спасская (бывш. Юбилейная) по адресу ул. Добролюбова, д.4, Венгерово. Минимальная стоимость в отеле 'Спасская (бывш. Юбилейная)' за ночь: от 2289₽"
79,79,Capsule Tolmachevo,"пр-т Можерина, 1В, Обь, Обь","Capsule Tolmachevo по адресу пр-т Можерина, 1В, Обь, Обь. Минимальная стоимость в отеле 'Capsule Tolmachevo' за ночь: от 1684₽"
80,80,Мини-отель Аркада,"улица Кривощёковская, д. 15, корп. 7, Новосибирск","Мини-отель Аркада по адресу улица Кривощёковская, д. 15, корп. 7, Новосибирск. Минимальная стоимость в отеле 'Мини-отель Аркада' за ночь: от 2377₽"
81,81,Апаратменты Обская 46/2,"Обская улица, д.46/2, Новосибирск","Апаратменты Обская 46/2 по адресу Обская улица, д.46/2, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Апаратменты Обская 46/2' за ночь: от 3962₽"
82,83,Отель Skyport,"проспект Мозжерина, д.8, Обь","Отель Skyport по адресу проспект Мозжерина, д.8, Обь. Минимальная стоимость в отеле 'Отель Skyport' за ночь: от 4473₽"
83,84,Тайга,"​Чаплыгина, 65, Новосибирск","Тайга по адресу ​Чаплыгина, 65, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Тайга' за ночь: от 1900₽"
84,85,Уютные апартаменты.,"улица Карла Маркса, д. 1/1, Бердск","Уютные апартаменты. по адресу улица Карла Маркса, д. 1/1, Бердск. Минимальная стоимость в отеле 'Уютные апартаменты.' за ночь: от 3143₽"
85,86,АлАнт на улице Фрунзе,"ул. Фрунзе, 20, Новосибирск","АлАнт на улице Фрунзе по адресу ул. Фрунзе, 20, Центральный район, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Фрунзе' за ночь: от 4125₽"
86,87,Спа-отель Крона,"улица Морская, д. 26, Бердск","Спа-отель Крона по адресу улица Морская, д. 26, Бердск. Минимальная стоимость в отеле 'Спа-отель Крона' за ночь: от 6714₽"
87,88,Гостиничный комплекс Домино,"ул. Титова, д. 184/1, Новосибирск","Гостиничный комплекс Домино по адресу ул. Титова, д. 184/1, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Гостиничный комплекс Домино' за ночь: от 2200₽"
88,89,Отель Гостиница Маршал Новосибирск,"улица Солидарности, д. 72а, Новосибирск","Отель Гостиница Маршал Калининский район, Новосибирск по адресу улица Солидарности, д. 72а, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Отель Гостиница Маршал Калининский район, Новосибирск' за ночь: от 2102₽"
89,90,Yousinn (Юсинн) на улице Иванова 15,"ул. Иванова, 13, Новосибирск","Yousinn (Юсинн) на улице Иванова 15 по адресу ул. Иванова, 13, Советский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Иванова 15' за ночь: от 2388₽"
90,91,Yousinn (Юсинн) на проспекте Красный 188,"пр-кт Красный, 188, Новосибирск","Yousinn (Юсинн) на проспекте Красный 188 по адресу пр-кт Красный, 188, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на проспекте Красный 188' за ночь: от 3189₽"
91,92,Yousinn (Юсинн) на улице Восход,"ул. Восход, 26/1, Новосибирск","Yousinn (Юсинн) на улице Восход по адресу ул. Восход, 26/1, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Восход' за ночь: от 2817₽"
92,93,Курорт-отель Морозово,"Урочище Морозовское Бердского спецлесхоза, кварталы 18 и 43, ул. Речкуновская зона отдыха, 1, Морозово","Курорт-отель Морозово по адресу Урочище Морозовское Бердского спецлесхоза, кварталы 18 и 43, ул. Речкуновская зона отдыха, 1, Морозово. Минимальная стоимость в отеле 'Курорт-отель Морозово' за ночь: от 4357₽"
93,94,Отель 54,"квартал Д, 17А, Барабинск","Отель 54 по адресу квартал Д, 17А, Барабинск. Минимальная стоимость в отеле 'Отель 54' за ночь: от 3114₽"
94,95,Viaggio Aparts (Виаджио Апартс) на улице Танковая,"ул. Танковая, 32, Новосибирск","Viaggio Aparts (Виаджио Апартс) на улице Танковая по адресу ул. Танковая, 32, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Viaggio Aparts (Виаджио Апартс) на улице Танковая' за ночь: от 3400₽"
95,96,Хостел Евразия,"проспект Карла Маркса, д. 1, Новосибирск","Хостел Евразия по адресу проспект Карла Маркса, д. 1, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Евразия' за ночь: от 1501₽"
96,97,Хостел On-Day,"улица Ленина, 88, Новосибирск","Хостел On-Day по адресу улица Ленина, 88, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел On-Day' за ночь: от 1634₽"
97,98,Санаторий-профилакторий Сибиряк,"Зелёная Роща, 15, Бердск","Санаторий-профилакторий Сибиряк по адресу Зелёная Роща, 15, Бердск. Минимальная стоимость в отеле 'Санаторий-профилакторий Сибиряк' за ночь: от 14262₽"
98,99,Спорт,"ул. Ленина, 9Б, Бердск","Спорт по адресу ул. Ленина, 9Б, Бердск. Минимальная стоимость в отеле 'Спорт' за ночь: от 3309₽"
99,100,Стильные апартаменты,"улица Большевистская, 37, Новосибирск","Стильные апартаменты по адресу улица Большевистская, 37, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Стильные апартаменты' за ночь: от 2971₽"
100,101,Студия на Комсомольской RestApart54,"улица Комсомольская, д.14, Бердск","Студия на Комсомольской RestApart54 по адресу улица Комсомольская, д.14, Бердск. Минимальная стоимость в отеле 'Студия на Комсомольской RestApart54' за ночь: от 2921₽"
101,102,Барракуда на улице Богдана Хмельницкого,"ул. Богдана Хмельницкого, д. 65/1, Новосибирск","Барракуда на улице Богдана Хмельницкого по адресу ул. Богдана Хмельницкого, д. 65/1, Заельцовский, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Барракуда на улице Богдана Хмельницкого' за ночь: от 4400₽"
102,103,Борвиха,"Морская ул., д. 3, Бердск","Борвиха по адресу Морская ул., д. 3, Бердск. Минимальная стоимость в отеле 'Борвиха' за ночь: от 11535₽"
103,104,Гостиничный Комплекс Кировский,"ул. Петухова, д. 67, Новосибирск","Гостиничный Комплекс Кировский по адресу ул. Петухова, д. 67, Кировский район, Новосибирск. Минимальная стоимость в отеле 'Гостиничный Комплекс Кировский' за ночь: от 1458₽"
104,105,Хостел RE,"улица Державина, д.49, Новосибирск","Хостел RE по адресу улица Державина, д.49, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Хостел RE' за ночь: от 2260₽"
105,106,Oazis apart (Оазис Апарт) на улице Покатная 130 корпус 1,"ул. Покатная, 130, корп. 1, Новосибирск","Oazis apart (Оазис Апарт) на улице Покатная 130 корпус 1 по адресу ул. Покатная, 130, корп. 1, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Oazis apart (Оазис Апарт) на улице Покатная 130 корпус 1' за ночь: от 2721₽"
106,107,Yousinn (Юсинн) на улице Добролюбова,"ул. Добролюбова, 18/1, Новосибирск","Yousinn (Юсинн) на улице Добролюбова по адресу ул. Добролюбова, 18/1, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Добролюбова' за ночь: от 2868₽"
107,110,Yousinn (Юсинн) на улице Гоголя 19,"ул. Гоголя, 19, Новосибирск","Yousinn (Юсинн) на улице Гоголя 19 по адресу ул. Гоголя, 19, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Гоголя 19' за ночь: от 2802₽"
108,111,Кристалл,"Россия, 633010, Новосибирская область, Искитим, ул. Коммунистическая, д. 57, Искитим","Кристалл по адресу Россия, 633010, Новосибирская область, Искитим, ул. Коммунистическая, д. 57, Искитим. Минимальная стоимость в отеле 'Кристалл' за ночь: от 4507₽"
109,112,Парус,"ул. Железнодорожная, 66А, Купино","Парус по адресу ул. Железнодорожная, 66А, Купино. Минимальная стоимость в отеле 'Парус' за ночь: от 1893₽"
110,114,Советская,"Советская, 252 к.1, Искитим","Советская по адресу Советская, 252 к.1, Искитим. Минимальная стоимость в отеле 'Советская' за ночь: от 2103₽"
111,116,Хостел Adres,"ул. Дуси Ковальчук, 272/4, Новосибирск","Хостел Adres по адресу ул. Дуси Ковальчук, 272/4, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Adres' за ночь: от 2260₽"
112,117,Отель Фаворит,"улица Тургенева, д. 9, Карасук","Отель Фаворит по адресу улица Тургенева, д. 9, Карасук. Минимальная стоимость в отеле 'Отель Фаворит' за ночь: от 2252₽"
113,119,Novonikolayevskaya,"ул. Блюхера, д.71, лит.Б, Новосибирск","Novonikolayevskaya по адресу ул. Блюхера, д.71, лит.Б, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Novonikolayevskaya' за ночь: от 3202₽"
114,120,Мини-Отель Гостинный Двор,"Советское шоссе, д.7, Новосибирск","Мини-Отель Гостинный Двор по адресу Советское шоссе, д.7, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель Гостинный Двор' за ночь: от 2452₽"
115,121,Гостиный двор,"ул. Ленина, д.54, Сузун","Гостиный двор по адресу ул. Ленина, д.54, Сузун. Минимальная стоимость в отеле 'Гостиный двор' за ночь: от 3122₽"
116,123,Yousinn (Юсинн) на улице Галущака 4,"ул. Галущака, 4, Новосибирск","Yousinn (Юсинн) на улице Галущака 4 по адресу ул. Галущака, 4, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Галущака 4' за ночь: от 10680₽"
117,124,Хостел Купеческий дворъ,"Красноярская улица, д.3, Новосибирск","Хостел Купеческий дворъ по адресу Красноярская улица, д.3, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел Купеческий дворъ' за ночь: от 2260₽"
118,125,Мини-отель Альянс,"улица Галущака, д. 2, Новосибирск","Мини-отель Альянс по адресу улица Галущака, д. 2, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Мини-отель Альянс' за ночь: от 2452₽"
119,127,Уют (квартирное бюро),"ул. Ленина, 75, Новосибирск","Уют (квартирное бюро) по адресу ул. Ленина, 75, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Уют (квартирное бюро)' за ночь: от 3090₽"
120,128,Апарт-Отель Усадьба,"улица Александра Невского, д. 30, Новосибирск","Апарт-Отель Усадьба по адресу улица Александра Невского, д. 30, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель Усадьба' за ночь: от 4369₽"
121,130,"Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина","улица Ядринцевская 18, Новосибирск","Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина по адресу улица Ядринцевская 18, Новосибирск. Минимальная стоимость в отеле 'Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина' за ночь: от 11000₽"
122,131,Alexandr House B&B,"ул. Далидовича, д. 25, Новосибирск","Alexandr House B&B по адресу ул. Далидовича, д. 25, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Alexandr House B&B' за ночь: от 4063₽"
123,133,Бурлинка,"Железнодорожная ул., д. 13, Новосибирск","Бурлинка по адресу Железнодорожная ул., д. 13, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Бурлинка' за ночь: от 3202₽"
124,134,Хуторок,"ул. Бердская 97, Маслянино","Хуторок по адресу ул. Бердская 97, Маслянино. Минимальная стоимость в отеле 'Хуторок' за ночь: от 4220₽"
125,135,Аппартаменты На Маркса 14/1-1,"проспект Карла Маркса, д.14, Новосибирск","Аппартаменты На Маркса 14/1-1 по адресу проспект Карла Маркса, д.14, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Аппартаменты На Маркса 14/1-1' за ночь: от 1926₽"
126,136,Озеро Карачи,"632224, Новосибирская область, Чановский район, п. Озеро-Карачи, ул. Школьная, 1, Озеро-Карачи","Озеро Карачи по адресу 632224, Новосибирская область, Чановский район, п. Озеро-Карачи, ул. Школьная, 1, Озеро-Карачи. Минимальная стоимость в отеле 'Озеро Карачи' за ночь: от 4507₽"
127,141,Меркурий,"Коммуностроевская ул., д. 178, Новосибирск","Меркурий по адресу Коммуностроевская ул., д. 178, Новосибирск. Минимальная стоимость в отеле 'Меркурий' за ночь: от 4220₽"
128,142,Гостевой дом Вера,"ул. Севастопольская, д.581, Восток","Гостевой дом Вера по адресу ул. Севастопольская, д.581, Восток. Минимальная стоимость в отеле 'Гостевой дом Вера' за ночь: от 12183₽"
129,143,Мини отель Звездный,"Улица Военная 9/1, Новосибирск","Мини отель Звездный по адресу Улица Военная 9/1, Новосибирск. Минимальная стоимость в отеле 'Мини отель Звездный' за ночь: от 2452₽"
130,144,Набережная,"Инская ул., д. 39, Новосибирск","Набережная по адресу Инская ул., д. 39, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Набережная' за ночь: от 3202₽"
131,147,AAA Elita on Yadryncevskaya 18,"Ядринцевская,18, Новосибирск","AAA Elita on Yadryncevskaya 18 по адресу Ядринцевская,18, Центральный район, Новосибирск. Минимальная стоимость в отеле 'AAA Elita on Yadryncevskaya 18' за ночь: от 3202₽"
132,148,АлАнт на улице Зыряновская,"ул. Зыряновская, 61, Новосибирск","АлАнт на улице Зыряновская по адресу ул. Зыряновская, 61, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Зыряновская' за ночь: от 4125₽"
133,150,Отель «Чернышевский»,"Чернышевский спуск, 16, Новосибирск","Отель «Чернышевский» по адресу Чернышевский спуск, 16, Новосибирск. Минимальная стоимость в отеле 'Отель «Чернышевский»' за ночь: от 3806₽"
134,151,Дом рядом хостел,"Российская, 21, Новосибирск","Дом рядом хостел по адресу Российская, 21, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'Дом рядом хостел' за ночь: от 3202₽"
135,152,Гостевой Дом Avantazh,"Улица Нарядная, д.1, Новосибирск","Гостевой Дом Avantazh по адресу Улица Нарядная, д.1, Заельцовский район, Новосибирск. Минимальная стоимость в отеле 'Гостевой Дом Avantazh' за ночь: от 7787₽"
136,153,na Leninskoy,"Улица Ленина 55, Новосибирск","na Leninskoy по адресу Улица Ленина 55, Новосибирск. Минимальная стоимость в отеле 'na Leninskoy' за ночь: от 3202₽"
137,155,Сибирская Жемчужина,"Ордынская трасса, в поселке Кирза, Кирза","Сибирская Жемчужина по адресу Ордынская трасса, в поселке Кирза, Кирза. Минимальная стоимость в отеле 'Сибирская Жемчужина' за ночь: от 6783₽"
138,156,Вилла Черепаново,"ул. Партизанская, д.10А, Черепаново","Вилла Черепаново по адресу ул. Партизанская, д.10А, Черепаново. Минимальная стоимость в отеле 'Вилла Черепаново' за ночь: от 15205₽"
139,157,Yousinn (Юсинн) на улице Фрунзе 49,"ул. Фрунзе, 49, Новосибирск","Yousinn (Юсинн) на улице Фрунзе 49 по адресу ул. Фрунзе, 49, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Фрунзе 49' за ночь: от 2988₽"
140,158,AAA Elita on Ordzhanikidze 23,"Орджоникидзе,23, Новосибирск","AAA Elita on Ordzhanikidze 23 по адресу Орджоникидзе,23, Центральный район, Новосибирск. Минимальная стоимость в отеле 'AAA Elita on Ordzhanikidze 23' за ночь: от 3202₽"
141,159,Хостел Антей,"630005, Россия, г. Новособирск, ул. Писарева, д. 89, Новосибирск","Хостел Антей по адресу 630005, Россия, г. Новособирск, ул. Писарева, д. 89, Новосибирск. Минимальная стоимость в отеле 'Хостел Антей' за ночь: от 2260₽"
142,161,Олимпик,"ул. Боровая Партия, д. 12, Новосибирск","Олимпик по адресу ул. Боровая Партия, д. 12, Советский район, Новосибирск. Минимальная стоимость в отеле 'Олимпик' за ночь: от 3202₽"
143,162,Yousinn (Юсинн) на улице Первомайская 230,"ул. Первомайская, 230, Новосибирск","Yousinn (Юсинн) на улице Первомайская 230 по адресу ул. Первомайская, 230, Первомайский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Первомайская 230' за ночь: от 2621₽"
144,163,Yousinn (Юсинн) на улице Кошурникова,"ул. Кошурникова, 29/5, Новосибирск","Yousinn (Юсинн) на улице Кошурникова по адресу ул. Кошурникова, 29/5, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'Yousinn (Юсинн) на улице Кошурникова' за ночь: от 2868₽"
145,164,Хостел «Обской»,"ул. ЖКО Аэропорта, 30, Обь","Хостел «Обской» по адресу ул. ЖКО Аэропорта, 30, Обь. Минимальная стоимость в отеле 'Хостел «Обской»' за ночь: от 2076₽"
146,166,Краснозерский,"632901, Новосибирская обл., Кайгородский сельсовет, ул. Санаторий, д. 1, Кайгородский","Краснозерский по адресу 632901, Новосибирская обл., Кайгородский сельсовет, ул. Санаторий, д. 1, Кайгородский. Минимальная стоимость в отеле 'Краснозерский' за ночь: от 4507₽"
147,167,Озерный дом,"ул. Бердский Тупик, 12, Новосибирск","Озерный дом по адресу ул. Бердский Тупик, 12, Новосибирск. Минимальная стоимость в отеле 'Озерный дом' за ночь: от 10521₽"
148,168,Парк-отель Шишка,"Воронежский переулок, 16/1, Новосибирск","Парк-отель Шишка по адресу Воронежский переулок, 16/1, Новосибирск. Минимальная стоимость в отеле 'Парк-отель Шишка' за ночь: от 3202₽"
149,169,Здоровье,"ул. Новосёлов, д. 25, Новосибирск","Здоровье по адресу ул. Новосёлов, д. 25, Новосибирск. Минимальная стоимость в отеле 'Здоровье' за ночь: от 6783₽"
150,170,Чулым,"ул. Кожемякина, 22а/1, Чулым","Чулым по адресу ул. Кожемякина, 22а/1, Чулым. Минимальная стоимость в отеле 'Чулым' за ночь: от 3122₽"
151,172,Бутик-отель Новая,"улица Дмитрия Шамшурина, д.1, Новосибирск","Бутик-отель Новая по адресу улица Дмитрия Шамшурина, д.1, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Бутик-отель Новая' за ночь: от 3065₽"
152,173,Меблированная комната On Gravity 29A,"ул. Самотечная, 29а, Новосибирск","Меблированная комната On Gravity 29A по адресу ул. Самотечная, 29а, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Меблированная комната On Gravity 29A' за ночь: от 3100₽"
