,Unnamed: 0.1,name,address,description
401,517,АлАнт на улице Немировича-Данченко 144/1,"ул. Немировича-Данченко, 144/1, Новосибирск","АлАнт на улице Немировича-Данченко 144/1 по адресу ул. Немировича-Данченко, 144/1, Кировский, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Немировича-Данченко 144/1' за ночь: от 4500₽"
402,518,Квартирка-НСК на проспекте Карла Маркса 11,"пр-кт Карла Маркса, 11, Новосибирск","Квартирка-НСК на проспекте Карла Маркса 11 по адресу пр-кт Карла Маркса, 11, Новосибирск. Минимальная стоимость в отеле 'Квартирка-НСК на проспекте Карла Маркса 11' за ночь: от 4879₽"
403,520,Смарт Отель КДО Барабинск,"Россия, Новосибирская область, Барабинск, ул. Путевая, д. 18, Барабинск","Смарт Отель КДО Барабинск по адресу Россия, Новосибирская область, Барабинск, ул. Путевая, д. 18, Барабинск. Минимальная стоимость в отеле 'Смарт Отель КДО Барабинск' за ночь: от 4116₽"
404,521,Веста на проспекте Карла Маркса,"пр-кт Карла Маркса, 7, Новосибирск","Веста на проспекте Карла Маркса по адресу пр-кт Карла Маркса, 7, Новосибирск. Минимальная стоимость в отеле 'Веста на проспекте Карла Маркса' за ночь: от 2099₽"
405,522,Welcome (Вэлком) на улице Жемчужная 32,"Академгородок, ул. Жемчужная, 32, Новосибирск","Welcome (Вэлком) на улице Жемчужная 32 по адресу Академгородок, ул. Жемчужная, 32, Новосибирск. Минимальная стоимость в отеле 'Welcome (Вэлком) на улице Жемчужная 32' за ночь: от 4675₽"
406,526,«Лайк Хостел Новосибирск»,"ул. Овражная, 5, Новосибирск","«Лайк Хостел Заельцовский район, Новосибирск» по адресу ул. Овражная, 5, Заельцовский район, Новосибирск. Минимальная стоимость в отеле '«Лайк Хостел Заельцовский район, Новосибирск»' за ночь: от 2260₽"
407,527,В гости на улице Вокзальная магистраль 11,"ул. Вокзальная магистраль, 11, Новосибирск","В гости на улице Вокзальная магистраль 11 по адресу ул. Вокзальная магистраль, 11, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'В гости на улице Вокзальная магистраль 11' за ночь: от 2875₽"
408,528,Мини-Отель Зеленый Бор,"микрорайон Зеленый Бор, д.9, Новосибирск","Мини-Отель Зеленый Бор по адресу микрорайон Зеленый Бор, д.9, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель Зеленый Бор' за ночь: от 2452₽"
409,530,Гостиница Abnicum,"ул. Сибиряков-Гвардейцев, 56/3, Новосибирск","Гостиница Abnicum по адресу ул. Сибиряков-Гвардейцев, 56/3, Кировский район, Новосибирск. Минимальная стоимость в отеле 'Гостиница Abnicum' за ночь: от 5348₽"
410,531,Отель Антураж,"улица Новороссийская , д. 2, Новосибирск","Отель Антураж по адресу улица Новороссийская , д. 2, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'Отель Антураж' за ночь: от 2018₽"
411,532,Бутик-отель Серебряная лошадь,"Владимировская улица, д. 4, Новосибирск","Бутик-отель Серебряная лошадь по адресу Владимировская улица, д. 4, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Бутик-отель Серебряная лошадь' за ночь: от 3615₽"
412,533,Хостел CapsLock,"улица Блюхера, д.77, Новосибирск","Хостел CapsLock по адресу улица Блюхера, д.77, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Хостел CapsLock' за ночь: от 2260₽"
413,534,Eridan,"улица Немировича-Данченко, д.138, корп.1, Новосибирск","Eridan по адресу улица Немировича-Данченко, д.138, корп.1, Кировский район, Новосибирск. Минимальная стоимость в отеле 'Eridan' за ночь: от 2883₽"
414,535,Мини-отель ФлаНск на Крылова,"улица Крылова, д.34, Новосибирск","Мини-отель ФлаНск на Крылова по адресу улица Крылова, д.34, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Мини-отель ФлаНск на Крылова' за ночь: от 2586₽"
415,536,Апарт-отель Гостиниц.net,"Железнодорожный район, Железнодорожная улица, 15/1, Новосибирск","Апарт-отель Гостиниц.net по адресу Железнодорожный район, Железнодорожная улица, 15/1, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Гостиниц.net' за ночь: от 3169₽"
416,537,Хостел Вавилон,"площадь Карла Маркса, д. 2, Новосибирск","Хостел Вавилон по адресу площадь Карла Маркса, д. 2, Новосибирск. Минимальная стоимость в отеле 'Хостел Вавилон' за ночь: от 2575₽"
417,538,Гостиничный комплекс Аквилон,"улица Бродского, д. 11, Новосибирск","Гостиничный комплекс Аквилон по адресу улица Бродского, д. 11, Дзержинский район, Новосибирск. Минимальная стоимость в отеле 'Гостиничный комплекс Аквилон' за ночь: от 2307₽"
418,539,Мини-Отель Клуб Путешественников,"Красный проспект, д.49, Новосибирск","Мини-Отель Клуб Путешественников по адресу Красный проспект, д.49, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель Клуб Путешественников' за ночь: от 2773₽"
419,540,Гостевой дом «Лесная сказка»,"Елочка-2, Ольховая ул., 65, Новосибирск","Гостевой дом «Лесная сказка» по адресу Елочка-2, Ольховая ул., 65, Новосибирск. Минимальная стоимость в отеле 'Гостевой дом «Лесная сказка»' за ночь: от 1588₽"
420,541,Лесная сказка,"ул. Попова, 12, Бердск","Лесная сказка по адресу ул. Попова, 12, Бердск. Минимальная стоимость в отеле 'Лесная сказка' за ночь: от 4533₽"
421,542,Гостиница Северная,"пр-кт Дзержинского, 32, Новосибирск","Гостиница Северная по адресу пр-кт Дзержинского, 32, Новосибирск. Минимальная стоимость в отеле 'Гостиница Северная' за ночь: от 3367₽"
422,543,Отель Добролюбов,"​улица Инская, дом 143, Новосибирск","Отель Добролюбов по адресу ​улица Инская, дом 143, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель Добролюбов' за ночь: от 2933₽"
423,544,Отель Атерра,"улица Писарева, д.1 А, Новосибирск","Отель Атерра по адресу улица Писарева, д.1 А, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Атерра' за ночь: от 4200₽"
424,545,Отель Аванта,"ул. Гоголя, д. 189/1, Новосибирск","Отель Аванта по адресу ул. Гоголя, д. 189/1, Дзержинский, Железнодорожный, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Аванта' за ночь: от 5628₽"
425,546,AZIMUT Отель Новосибирск,"ул. Ленина, д. 21, Новосибирск","AZIMUT Отель Железнодорожный район, Новосибирск по адресу ул. Ленина, д. 21, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'AZIMUT Отель Железнодорожный район, Новосибирск' за ночь: от 4301₽"
426,547,Апарт-отель BonApart,"улица Ядринцевская, д.71, Новосибирск","Апарт-отель BonApart по адресу улица Ядринцевская, д.71, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель BonApart' за ночь: от 2774₽"
427,548,Гостиница Центральная,"Улица Ленина, дом 3, Новосибирск","Гостиница Центральная по адресу Улица Ленина, дом 3, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Гостиница Центральная' за ночь: от 2530₽"
428,549,Отель Cosmos Novosibirsk Hotel,"улица Дмитрия Шамшурина, дом 37, Новосибирск","Отель Cosmos Novosibirsk Hotel по адресу улица Дмитрия Шамшурина, дом 37, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Отель Cosmos Novosibirsk Hotel' за ночь: от 5348₽"
429,550,Отель DoubleTree by Hilton Novosibirsk,"ул. Каменская 7/1, Новосибирск","Отель DoubleTree by Hilton Novosibirsk по адресу ул. Каменская 7/1, Новосибирск. Минимальная стоимость в отеле 'Отель DoubleTree by Hilton Novosibirsk' за ночь: от 7650₽"
430,551,Gorskiy city hotel,"улица Немировича-Данченко, д. 144а, Новосибирск","Gorskiy city hotel по адресу улица Немировича-Данченко, д. 144а, Кировский, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Gorskiy city hotel' за ночь: от 5348₽"
431,552,Гостиница Н,"улица Фабричная, д.20, Новосибирск","Гостиница Н по адресу улица Фабричная, д.20, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Гостиница Н' за ночь: от 3250₽"
432,553,Апарт-отель Гостиниц net (Большевитская),"улица Большевистская, д.37, Новосибирск","Апарт-отель Гостиниц net (Большевитская) по адресу улица Большевистская, д.37, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Гостиниц net (Большевистская)' за ночь: от 2724₽"
433,554,Апарт-отель Lucky Jet,"Железнодорожная улица 15/1, офис 29, 3 этаж, Новосибирск","Апарт-отель Lucky Jet по адресу Железнодорожная улица 15/1, офис 29, 3 этаж, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Lucky Jet' за ночь: от 2400₽"
434,555,Отель Николь,"улица Ядринцевская, д. 72, корп. 2, Новосибирск","Отель Николь по адресу улица Ядринцевская, д. 72, корп. 2, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Николь' за ночь: от 3500₽"
435,556,Отель Marins Park Hotel Novosibirsk,"Вокзальная магистраль, 1, Новосибирск","Отель Marins Park Hotel Novosibirsk по адресу Вокзальная магистраль, 1, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Отель Marins Park Hotel Novosibirsk' за ночь: от 4223₽"
436,557,Отель Гранд Автограф (бывший Марриотт),"улица Орджоникидзе, 31, Новосибирск","Отель Гранд Автограф (бывший Марриотт) по адресу улица Орджоникидзе, 31, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Гранд Автограф (бывший Марриотт)' за ночь: от 10485₽"
437,558,Отель DK,"улица Выборная, д.29, Новосибирск","Отель DK по адресу улица Выборная, д.29, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель DK' за ночь: от 2575₽"
438,559,Отель River Park,"Улица Добролюбова, д. 2, Новосибирск","Отель River Park по адресу Улица Добролюбова, д. 2, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель River Park' за ночь: от 4200₽"
439,560,Отель Тор,"улица Дуси Ковальчук, д. 410/1, Новосибирск","Отель Тор по адресу улица Дуси Ковальчук, д. 410/1, Железнодорожный, Заельцовский, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Отель Тор' за ночь: от 3245₽"
