,Unnamed: 0,name,address,description,longitude,latitude
205,205,Хостел Норка,"микрорайон Горский, д. 2, Новосибирск","Хостел Норка по адресу микрорайон Горский, д. 2, Новосибирск. Минимальная стоимость в отеле 'Хостел Норка' за ночь: от 2278₽",82.908311,54.993675
206,206,Отель Приморье,"Новосибирская область, Новосибирский район, посёлок Голубой залив, с/п Приморье территория, 2, Новосибирск","Отель Приморье по адресу Новосибирская область, Новосибирский район, посёлок Голубой залив, с/п Приморье территория, 2, Новосибирск. Минимальная стоимость в отеле 'Отель Приморье' за ночь: от 2708₽",82.903371,54.827625
207,207,Мини-Отель Red,"Красный проспект, д.153 А, Новосибирск","Мини-Отель Red по адресу Красный проспект, д.153 А, Новосибирск. Минимальная стоимость в отеле 'Мини-Отель Red' за ночь: от 2338₽",82.908769,55.055764
208,208,Отель Шале на Комсомольском,"Комсомольский Проспект, д. 24, Новосибирск","Отель Шале на Комсомольском по адресу Комсомольский Проспект, д. 24, Новосибирск. Минимальная стоимость в отеле 'Отель Шале на Комсомольском' за ночь: от 3070₽",82.907224,55.032201
209,209,Отель SKYEXPO,"Улица Станционная, д. 100, Новосибирск","Отель SKYEXPO по адресу Улица Станционная, д. 100, Новосибирск. Минимальная стоимость в отеле 'Отель SKYEXPO' за ночь: от 4457₽",82.749301,54.997771
210,210,Уют (квартирное бюро),"ул. Ленина, 75, Новосибирск, Новосибирск","Уют (квартирное бюро) по адресу ул. Ленина, 75, Новосибирск, Новосибирск. Минимальная стоимость в отеле 'Уют (квартирное бюро)' за ночь: от 2000₽",82.896337,55.038047
211,211,AAA Elita on Sovetskaya 36/1,"Советская,36/1, Новосибирск","AAA Elita on Sovetskaya 36/1 по адресу Советская,36/1, Новосибирск. Минимальная стоимость в отеле 'AAA Elita on Sovetskaya 36/1' за ночь: от 3202₽",82.91477,55.037216
212,212,Derzhavina Apartmens,"Derzhavina 92/1, Новосибирск","Derzhavina Apartmens по адресу Derzhavina 92/1, Новосибирск. Минимальная стоимость в отеле 'Derzhavina Apartmens' за ночь: от 3202₽",82.945277,55.040301
213,213,Foxhole,"ул. Фрунзе, 2б, Новосибирск","Foxhole по адресу ул. Фрунзе, 2б, Новосибирск. Минимальная стоимость в отеле 'Foxhole' за ночь: от 2260₽",82.917241,55.035751
214,214,A54 Mega Hostel,"ulitsa Mira, 65 A/1, Novosibirsk, Новосибирск","A54 Mega Hostel по адресу ulitsa Mira, 65 A/1, Novosibirsk, Новосибирск. Минимальная стоимость в отеле 'A54 Mega Hostel' за ночь: от 2260₽",82.926107,54.965414
